,id,Constituency,Country/Region,Con Vote,Labour Vote,Liberal Vote,SNP/PC Vote,DUP Vote,OUP Vote,SDLP Vote,Alliance Vote,Other Vote,Total votes
20,25,AYLESBURY,South East,0.5824641460234681,0.24173128388115006,0.17580457009538186,,,,,,,58292
21,26,AYR,Scotland,0.43265446224256293,0.3693135011441648,0.10654462242562929,0.09148741418764302,,,,,,43700
22,27,AYRSHIRE CENTRAL,Scotland,0.29319469290399525,0.5112924865831843,0.09123434704830054,0.10427847346451997,,,,,,53664
23,30,BANBURY,South East,0.5470117002213556,0.2920312005902814,0.15210287762200905,,,,,,0.008854221566353957,56922
24,31,BANFF,Scotland,0.4456237890657906,0.14240586302754613,,0.4119703479066633,,,,,,23742
25,32,BARKING,London,0.32357055429270853,0.5278020632977793,0.1072157137028618,,,,,,0.04141166870665035,34314
26,33,BARKSTON ASH,Yorkshire and the Humber,0.5624956469654125,0.3018568304336319,0.11017008176740169,,,,,,0.025477440833553886,71789
27,34,BARNSLEY,Yorkshire and the Humber,0.2409515238145658,0.6401609402297633,0.10148763830800996,,,,,,0.017399897647660895,56667
28,35,BARROW IN FURNESS,North West,0.3507133470996809,0.5323587385019711,0.11692791439834804,,,,,,,42616
29,36,BARRY,Wales,0.5090643953203194,0.3633712259304676,0.1011666059059424,0.021227587578298478,,,,,0.005170185264971995,60346
30,37,BASILDON,Eastern,0.4691900319235814,0.4050953995397065,0.1148259051201465,,,,,,0.010888663416565617,80818
31,38,BASINGSTOKE,South East,0.5410225166907826,0.26500901175335717,0.18537557434061888,,,,,,0.008592897215241287,78786
32,39,BASSETLAW,East Midlands,0.379732359266719,0.5022701669340798,0.11799747379920117,,,,,,,58586
33,40,BATH,South West,0.46390506316362096,0.2298269296637318,0.28031753067515564,,,,,,0.02595047649749159,49633
34,41,BATLEY AND MORLEY,Yorkshire and the Humber,0.3762135404442358,0.49040902980775386,0.10546866665244202,,,,,,0.02790876309556831,46867
35,42,"BATTERSEA,NORTH",London,0.3322445501668679,0.5621671518852517,0.07175317759000213,,,,,,0.03383512035787829,28166
36,43,"BATTERSEA,SOUTH",London,0.4404013032678474,0.451111326171812,0.090390012581051,,,,,,0.018097357979289654,30999
37,44,BEACONSFIELD,South East,0.6167780309760148,0.20167239581321694,0.1709667452010351,,,,,,0.010582828009733113,51782
38,45,BEBINGTON AND ELLESMERE PORT,North West,0.43854699585588747,0.4319866092520349,0.1294663948920776,,,,,,,74081
39,46,BECKENHAM,London,0.5685404681037869,0.25082599755088836,0.14902613155888264,,,,,,0.031607402786442085,43281
40,47,BEDFORD,Eastern,0.5120952490585275,0.30796428160305217,0.16657073788419477,,,,,,0.013369731454225526,60809
41,50,BEDWELLTY,Wales,0.2071067499256616,0.7134998513232234,,0.0656160174447418,,,,,0.013777381306373277,40356
42,51,BEESTON,East Midlands,0.5257643991467172,0.3646519712412104,0.10958362961207237,,,,,,,63285
43,52,BELFAST EAST,Northern Ireland,,,,,0.3136754986369609,0.31242032595265645,,0.29547549471454626,0.07842868069583636,50989
44,53,BELFAST NORTH,Northern Ireland,,,,,0.27607217079161156,0.252574154543737,0.1847487247307765,0.09729831853391271,0.1893066313999622,42344
45,54,BELFAST SOUTH,Northern Ireland,,,,,,0.6171190425304552,0.07894849326779227,0.2510151741825176,0.052917290019234876,46790
46,55,BELFAST WEST,Northern Ireland,,,,,0.11163517289031755,0.2476942950701475,0.4950881725598582,0.06080451828040977,0.08477784119926698,33287
47,56,BELPER,East Midlands,0.44364140631372867,0.42925197813851046,0.11960192511624113,,,,,,0.0075046904315197,61295
48,57,BERMONDSEY,London,0.24935867920805105,0.63599289613892,0.06814444517529435,,,,,,0.04650397947773466,30406
49,58,BERWICK AND EAST LOTHIAN,Scotland,0.4018286528528172,0.43493835223337096,0.09792396445605493,0.06530903045775693,,,,,,50529
50,59,BERWICK UPON TWEED,North East,0.38361972147349505,0.0730570530098832,0.5433232255166217,,,,,,,35616
51,60,BETHNAL GREEN,London,0.19503906386854922,0.4984409487440003,0.23378761868058717,,,,,,0.07273236870686332,28543
52,61,BEXLEY HEATH,London,0.5369838816515787,0.32732268590073843,0.11731802458232134,,,,,,0.018375407865361498,40761
53,62,BIRKENHEAD,North West,0.35707607106039174,0.4987413392150752,0.1368463954352569,,,,,,0.0073361942892762105,41711
54,64,BIRMINGHAM ERDINGTON,West Midlands,0.4444673256452499,0.46002654219293426,0.0797867472084935,,,,,,0.01571938495332235,43704
55,63,"BIRMINGHAM,EDGBASTON",West Midlands,0.5410188128167683,0.33513014345846576,0.09399965638690834,,,,,,0.029851387337857572,46564
56,65,"BIRMINGHAM,HALL GREEN",West Midlands,0.5454215775158658,0.352734965246298,0.0894530069507404,,,,,,0.0123904502870958,49635
57,66,"BIRMINGHAM,HANDSWORTH",West Midlands,0.44788384707831225,0.5521161529216877,,,,,,,,30787
58,67,"BIRMINGHAM,LADYWOOD",West Midlands,0.2688111095366303,0.6353030088328374,0.09588588163053233,,,,,,,21171
59,68,"BIRMINGHAM,NORTHFIED",West Midlands,0.4542908438061041,0.4506283662477558,0.0814721723518851,,,,,,0.013608617594254937,55700
60,69,"BIRMINGHAM,PERRY BARR",West Midlands,0.46326114649681527,0.47577070063694266,0.046140127388535034,,,,,,0.014828025477707006,39250
61,70,"BIRMINGHAM,SELLY OAK",West Midlands,0.48668570708555586,0.38640850098702173,0.11449451887941535,,,,,,0.012411273048007055,47618
62,71,"BIRMINGHAM,SMALL HEATH",West Midlands,0.2138373362445415,0.6050423034934498,0.15249727074235808,,,,,,0.028623089519650657,29312
63,72,"BIRMINGHAM,SPARKBROOK",West Midlands,0.34857525980556486,0.6274555816292323,,,,,,,0.023969158565202816,29830
64,73,"BIRMINGHAM,STECHFORD",West Midlands,0.4463068831465813,0.4840155499656986,0.0537159844500343,,,,,,0.0159615824376858,43730
65,74,"BIRMINGHAM,YARDLEY",West Midlands,0.4755546135368094,0.4481418680231737,0.058664217417926615,,,,,,0.01763930102209034,42462
66,75,BISHOP AUCKLAND,North East,0.3792182655603147,0.4874639330453951,0.13331780139429023,,,,,,,55799
67,76,BLABY,East Midlands,0.5814474490242408,0.22019777719436423,0.16236982585105453,,,,,,0.03598494793034042,57135
68,77,BLACKBURN,North West,0.3656858703493765,0.5071369679480573,0.11261980830670927,,,,,,0.014557353395856952,38812
69,78,"BLACKPOOL,NORTH",North West,0.5365126332092743,0.3000531681268638,0.14163526664971451,,,,,,0.021798932014147347,43259
70,79,"BLACKPOOL,SOUTH",North West,0.5149915990250136,0.3056061717585252,0.16700191684218,,,,,,0.012400312374281184,42257
71,80,BLAYDON,North East,0.3499534923965476,0.5340154448506349,0.1160310627528175,,,,,,,46229
72,81,BLYTH,North East,0.22745336837382218,0.40136850201910135,0.08294340106403436,,,,,,0.2882347285430421,62404
73,82,BODMIN,South West,0.5486951737148247,0.06893570193365824,0.3516153120578525,,,,,,0.030753812293664518,50888
74,83,BOLSOVER,East Midlands,0.24494539819366087,0.665754618755902,0.08929998305043706,,,,,,,41299
75,84,"BOLTON,EAST",North West,0.43580611535788744,0.4760250173731758,0.07824444058373871,,,,,,0.009924426685198055,46048
76,85,"BOLTON,WEST",North West,0.4330054699653736,0.4480604205349526,0.11020223816931801,,,,,,0.008731871330355799,39854
77,86,BOOTLE,North West,0.266338497833632,0.6102125535920877,0.10278338588571558,,,,,,0.020665562688564752,44083
78,87,BOSWORTH,East Midlands,0.48507316050773525,0.3745791797115498,0.13141382517455036,,,,,,0.008933834606164608,76339
79,88,BOTHWELL,Scotland,0.23395028426775116,0.5496949827779392,0.10841598539237249,0.10793874756193717,,,,,,48194
80,89,BOURNEMOUTH EAST,South East,0.6263621580952843,0.1833118947649443,0.16353178166638352,,,,,,0.02679416547338786,41203
81,90,BOURNEMOUTH WEST,South East,0.5984272001850353,0.21387764542615936,0.17756447322770902,,,,,,0.010130681161096333,43235
82,91,"BRADFORD,NORTH",Yorkshire and the Humber,0.35660868151520075,0.5094496829783774,0.11825312957242724,,,,,,0.015688505933994474,49208
83,92,"BRADFORD,SOUTH",Yorkshire and the Humber,0.39381140719795266,0.47108828319344276,0.12754800723016627,,,,,,0.007552302378438356,55877
84,93,"BRADFORD,WEST",Yorkshire and the Humber,0.3665308652909397,0.5382384199805155,0.08121512709237445,,,,,,0.0140155876361704,45164
85,94,BRAINTREE,Eastern,0.5197670401263511,0.31382129871839165,0.16641166115525724,,,,,,,60783
86,95,BRECON AND RADNOR,Wales,0.47229980407686856,0.40920838717745633,0.09700279294676727,0.021489015798907832,,,,,,47978
87,96,BRENT EAST,London,0.3671436808722546,0.5333909943911517,0.07336059128793836,,,,,,0.026104733448655448,38154
88,97,BRENT NORTH,London,0.5382822662234427,0.3398612516259575,0.10608469431998843,,,,,,0.01577178783061136,55352
89,98,BRENT SOUTH,London,0.3087472657114066,0.5942438616757195,0.07026814461621649,,,,,,0.026740727996657408,40687
90,99,BRENTFORD AND ISLEWORTH,London,0.4940502898576736,0.4044187590860958,0.07552452572823375,,,,,,0.02600642532799684,55717
91,100,BRENTWOOD AND ONGAR,Eastern,0.6042925047221703,0.2528592481889698,0.14284824708885982,,,,,,,48177
92,101,BRIDGWATER,South West,0.5411783036997282,0.29100950468309067,0.16781219161718114,,,,,,,57761
93,102,BRIDLINGTON,Yorkshire and the Humber,0.5480213819976112,0.24853635135399738,0.20344226664839146,,,,,,,51071
94,103,BRIGG AND SCUNTHORPE,Yorkshire and the Humber,0.43415198806186633,0.4273740289806563,0.108279988285009,,,,,,0.030193994672468378,71703
95,104,BRIGHOUSE AND SPENBOROUGH,Yorkshire and the Humber,0.4471395881006865,0.4140732265446224,0.13878718535469106,,,,,,,52440
96,105,"BRIGHTON,KEMPTOWN",South East,0.5359776465892141,0.36773881804239583,0.08779596210004412,,,,,,0.008487573268345974,47599
97,106,"BRIGHTON,PAVILION",South East,0.537237643872715,0.2925573072831028,0.1442354192861979,,,,,,0.02596962955798433,41356
98,107,"BRISTOL,NORTH EAST",South West,0.36489441126279865,0.5155983361774744,0.09846949658703072,,,,,,0.021037755972696245,37504
99,108,"BRISTOL,NORTH WEST",South West,0.48587284624182087,0.3981851247726719,0.10981120047996701,,,,,,0.006130828505540244,53337
100,109,"BRISTOL,SOUTH",South West,0.32045796229906326,0.5791141436336301,0.08823869550132994,,,,,,0.012189198565976639,43235
101,110,"BRISTOL,SOUTH EAST",South West,0.4192901178273082,0.45376281326378,0.11620399080728122,,,,,,0.010743078101630613,54826
102,111,"BRISTOL,WEST",South West,0.5259215500945179,0.22896975425330812,0.20982986767485823,,,,,,0.03527882797731569,42320
103,112,BROMSGROVE AND REDDITCH,West Midlands,0.54299969577122,0.34969272893215697,0.0981563735929419,,,,,,0.009151201703681168,82175
104,113,BUCKINGHAM,South East,0.5130289354271449,0.34127325717237056,0.1358231163688683,,,,,,0.009874691031616227,81319
105,114,BURNLEY,North West,0.3544118758978753,0.5084053733901253,0.12831111223126748,,,,,,0.00887163848073191,39677
106,115,BURTON,West Midlands,0.5400007243227583,0.3625235404896422,0.0974757351875996,,,,,,,55224
107,116,BURY AND RADCLIFFE,North West,0.4522062815044591,0.45279565723148507,0.08857696781698332,,,,,,0.0064210934470725085,64475
108,117,BURY ST. EDMUNDS,Eastern,0.5676427465435262,0.29004234094739584,0.14231491250907796,,,,,,,72979
109,28,BUTE AND NORTH AYRSHIRE,Scotland,0.4572386660681752,0.3433580651123492,0.060201198743167955,0.13920207007630767,,,,,,37873
110,118,CAERNARVON,Wales,0.19861471367898983,0.2478693384260183,0.056979163697517314,0.49653678419747455,,,,,,35083
111,119,CAERPHILLY,Wales,0.18919093572290194,0.5876270894364983,0.0738841978287093,0.1492977770118904,,,,,,46424
112,120,CAITHNESS AND SUTHERLAND,Scotland,0.3052558902218003,0.4148183308880642,,0.2799257788901355,,,,,,23174
113,198,"CAMBERWELL,DULWICH",London,0.4273395303553629,0.4301675977653631,0.11031780987041888,,,,,,0.032175062008855095,43139
114,459,"CAMBERWELL,PECKHAM",London,0.28074764157874627,0.598465924119082,0.07661562876539219,,,,,,0.044170805536779614,34027
115,121,CAMBRIDGE,Eastern,0.4570938215102975,0.37135297482837526,0.16599327803203662,,,,,,0.005559925629290618,55936
116,122,CAMBRIDGESHIRE,Eastern,0.56519533231862,0.24584858831434173,0.18895607936703826,,,,,,,72927
117,123,CANNOCK,West Midlands,0.3728492302508266,0.5275572310089927,0.09959353874018069,,,,,,,47483
118,124,CANTERBURY,South East,0.582841436488983,0.24283933372384686,0.16018564412202047,,,,,,0.014133585665149672,66579
119,126,CARDIFF NORTH WEST,Wales,0.5097687910587834,0.3316838722520832,0.1374171714586355,0.021130165230497967,,,,,,35163
120,125,"CARDIFF,NORTH",Wales,0.47309725740720343,0.3616312369203657,0.13550501156515035,0.029766494107280536,,,,,,36316
121,127,"CARDIFF,SOUTH EAST",Wales,0.3765389197776013,0.5925089356632248,,0.015587768069896743,,,,,0.015364376489277205,40288
122,128,"CARDIFF,WEST",Wales,,0.8557004494524276,,0.10356396784199531,,,,,0.040735582705577006,31594
123,129,CARDIGAN,Wales,0.297145165634258,0.2016698087799623,0.3562348505251818,0.1449501750605979,,,,,0.0,37130
124,130,CARLISLE,North West,0.39062609141074295,0.4969382290623763,0.11243567952688072,,,,,,,42949
125,131,CARLTON,East Midlands,0.5255650792600192,0.31421054373365986,0.1501969090247212,,,,,,0.010027467981599762,60434
126,132,CARMARTHEN,Wales,0.2355967670717426,0.3583674096258327,0.08036245656472575,0.32039394113920405,,,,,0.005279425598494884,52089
127,133,CARSHALTON,London,0.5129734335063124,0.3121563008287507,0.15707536209433817,,,,,,0.017794903570598715,51644
128,134,CHEADLE,North West,0.5882555817752768,0.13459793065892176,0.2771464875658014,,,,,,,55090
129,135,CHELMSFORD,Eastern,0.49582025635761007,0.0885958994515003,0.4155838441908896,,,,,,,68186
130,136,CHELSEA,London,0.6609619177666515,0.18485813988772568,0.13788499468972842,,,,,,0.016294947655894402,32955
131,137,CHELTENHAM,South West,0.5100647088103534,0.18287705326032852,0.3002488800398208,,,,,,0.0068093578894972626,50225
132,138,CHERTSEY & WALTON,South East,0.49044198685060614,0.23203359556112949,0.26196176794740245,,,,,,0.01556264964086193,52626
133,139,CHESHAM & AMERSHAM,South East,0.6143224987871777,0.14264656491398292,0.23002574915102436,,,,,,0.013005187147815053,53594
134,141,CHESTERFIELD,East Midlands,0.322392859122914,0.5738019995934284,0.10380514128365767,,,,,,,54111
135,142,CHESTER-LE-STREET,North East,0.25162811763052273,0.6039574581062298,0.1444144242632475,,,,,,,64031
136,143,CHICHESTER,South East,0.6228637081717651,0.1538309636650869,0.19603619129685482,,,,,,0.027269136866293266,55704
137,144,CHINGFORD,London,0.5609178655982516,0.2790247678018576,0.1189446366782007,,,,,,0.04111272992169004,43928
138,145,CHIPPENHAM,South West,0.491860504145269,0.08636256838854764,0.4130332628469775,,,,,,0.008743664619205853,59586
139,146,CHIPPING BARNET,London,0.571253378148207,0.2531510458065542,0.15595121840437853,,,,,,0.019644357640860265,44033
140,147,CHISLEHURST,London,0.545320266341555,0.3163743786926756,0.12508205945793865,,,,,,0.013223295507830817,42652
141,148,CHORLEY,North West,0.4684818928926217,0.429663746651013,0.09614979379270899,,,,,,0.005704566663656341,66438
142,149,CHRISTCHURCH,South West,0.660135494155154,0.14882217499114417,0.16945625221395677,,,,,,0.021586078639744953,45168
143,150,CIRENCESTER AND TEWKESBURY,South West,0.5595915758809803,0.17203454067149204,0.2683738834475276,,,,,,,67283
144,151,CITIES OF LONDON AND WESTMINSTER,London,0.6067840553094955,0.25447409167836954,0.12152965323538943,,,,,,0.017212199776745526,27771
145,140,CITY OF CHESTER,North West,0.5143316942333482,0.3477872150201162,0.13788109074653554,,,,,,,55925
146,544,CLACKMANNAN AND EAST STIRLINGSHIRE,Scotland,0.17989476395481474,0.4191043897413254,,0.4010008463038599,,,,,,54354
147,152,CLEVELAND,North East,0.5099860748144899,0.37804017320641703,0.11197375197909315,,,,,,,52423
148,153,CLITHEROE,North West,0.5707361474570486,0.3072476959836159,0.12201615655933554,,,,,,,43945
149,154,COATBRIDGE AND AIRDRIE,Scotland,0.2746578366445916,0.6092273730684327,,0.11611479028697572,,,,,,45300
150,155,COLCHESTER,Eastern,0.5293109161372117,0.32958752935413693,0.14110155450865136,,,,,,,69411
151,156,COLNE VALLEY,Yorkshire and the Humber,0.2752328527075675,0.3390221138644978,0.38382126054741816,,,,,,0.0019237728805165616,52501
152,157,CONSETT,North East,0.24866389889212562,0.6126109594696882,0.1387251416381861,,,,,,,43597
153,158,CONWAY,Wales,0.4471226124460875,0.29744916820702405,0.16924214417744918,0.08618607516943931,,,,,0.0,40575
154,160,COVENTRY NORTH EAST,West Midlands,0.3500275996772961,0.573436372128572,0.04863912360409325,,,,,,0.02789690459003864,47102
155,161,COVENTRY NORTH WEST,West Midlands,0.39900564156727375,0.5013009093485149,0.08792086349468044,,,,,,0.0117725855895309,38819
156,162,COVENTRY SOUTH EAST,West Midlands,0.3397747380838693,0.5500379181529647,0.08381316181220684,,,,,,0.02637418195095919,35603
157,163,COVENTRY SOUTH WEST,West Midlands,0.4926963517041846,0.39295039164490864,0.10445628396020042,,,,,,0.009896972690706373,56684
158,164,CREWE,North West,0.391383534615468,0.4832505799960972,0.11773378721189913,,,,,,0.0076320981765356346,46121
159,165,CROSBY,North West,0.5694537711899107,0.25380394726066663,0.15235443452624683,,,,,,0.024387847023175827,61055
160,166,CROYDON CENTRAL,London,0.5247114354845107,0.3668835032327159,0.10138431636983856,,,,,,0.00702074491293483,50422
161,167,"CROYDON,NORTH EAST",London,0.5100906144273311,0.3497764213215984,0.12915513284595548,,,,,,0.010977831405115102,42267
162,168,"CROYDON,NORTH WEST",London,0.49417249417249415,0.40070921985815605,0.1051182859693498,,,,,,,40326
163,169,"CROYDON,SOUTH",London,0.6486406991890415,0.1312870288667591,0.21021891676120846,,,,,,0.009853355182990882,47598
164,170,DAGENHAM,London,0.31066473742446166,0.5257255936675461,0.11879734445484721,,,,,,0.044812324453144946,46996
165,171,DARLINGTON,North East,0.4339398095852832,0.45515975472002584,0.10194448926900113,,,,,,0.00895594642568985,49576
166,172,DARTFORD,South East,0.4586768811270532,0.4285528793092255,0.09537103161721742,,,,,,0.017399207946503927,46209
167,173,DARWEN,North West,0.5264876880984952,0.30374487004103967,0.1697674418604651,,,,,,,58480
168,174,DAVENTRY,East Midlands,0.5661140646995312,0.27250611597807817,0.1542456504803947,,,,,,0.007134168841995928,73169
169,175,DEARNE VALLEY,Yorkshire and the Humber,0.19591624623779313,0.6881969555897192,0.11588679817248772,,,,,,,46183
170,176,DENBIGH,Wales,0.4493331056595898,0.17599180374523307,0.281423719809513,0.09325137078566414,,,,,0.0,52707
171,177,DEPTFORD,London,0.32540192926045014,0.5421781070879351,0.07756186215573885,,,,,,0.054858101495875854,35765
172,178,DERBY NORTH,East Midlands,0.44534986989919134,0.4486841900250853,0.09493463797697138,,,,,,0.011031302098751966,64181
173,179,DERBY SOUTH,East Midlands,0.38724953109621346,0.5003806941633085,0.0964920425634645,,,,,,0.0158777321770135,53849
174,183,DEVIZES,South West,0.5092144920256185,0.2566714805977647,0.220692578174055,,,,,,0.013421449202561848,63704
175,185,DEVON WEST,South West,0.6098940954591615,0.12795589728710285,0.2540050983399308,,,,,,0.008144908913804896,48251
176,186,DEWSBURY,Yorkshire and the Humber,0.37759174734429046,0.4672616001801175,0.15514665247559203,,,,,,,48857
177,188,DON VALLEY,Yorkshire and the Humber,0.3123929103115081,0.5562062863402714,0.11569899721917924,,,,,,0.015701806129041318,71202
178,187,DONCASTER,Yorkshire and the Humber,0.42366227006043494,0.48930257179408004,0.08041819224491596,,,,,,0.006616965900569059,45338
179,189,DORKING,South East,0.6143011458708406,0.18999004511469297,0.19570880901446636,,,,,,,47213
180,193,DOVER,South East,0.5001307274985293,0.3703510033335512,0.11285051310543173,,,,,,0.016667756062487743,61196
181,194,DOWN NORTH,Northern Ireland,,,,,,0.18891448269196695,,0.21526715098017107,0.595818366327862,62081
182,195,DOWN SOUTH,Northern Ireland,,,,,,0.5314199097110093,0.39596994760602366,0.07261014268296702,,60694
183,196,DUDLEY EAST,West Midlands,0.35455805726851186,0.5382905492614369,0.08697834504517424,,,,,,0.020173048424876907,41838
184,197,DUDLEY WEST,West Midlands,0.5096236713588049,0.49037632864119507,,,,,,,,59177
185,199,DUMFRIES,Scotland,0.45209080047789724,0.2727996814018319,0.14275189167662286,0.13235762644364796,,,,,,50220
186,200,DUNBARTONSHIRE CENTRAL,Scotland,0.21543912933434572,0.5192356365477094,0.07843583902809416,0.15325234117944825,,,,,0.03363705391040243,39510
187,203,DUNDEE EAST,Scotland,0.18158890290037832,0.35985508116655657,0.046378029984587364,0.4102764266698693,,,,,0.001901559278608459,49959
188,204,DUNDEE WEST,Scotland,0.2575361073932759,0.47252242354022256,,0.26362891787690523,,,,,0.006312551189596277,50059
189,205,DUNFERMLINE,Scotland,0.3010865550955352,0.44323284156510584,0.11279569265457655,0.1428849106847824,,,,,,51447
190,206,DURHAM,North East,0.3325835855980788,0.5226192690805161,0.14479714532140503,,,,,,,59131
191,208,"EALING,NORTH",London,0.4604446526255918,0.43568596617428107,0.0863542834200445,,,,,,0.01751509778008264,59777
192,209,EASINGTON,North East,0.24704620904385838,0.6090479823494237,0.14390580860671795,,,,,,,48497
193,5,EAST ABERDEENSHIRE,Scotland,0.4282006260019849,0.15779830521413848,,0.41400106878387666,,,,,,39297
194,201,DUNBARTONSHIRE EAST,Scotland,0.34074122278983504,0.3785507435004718,0.07483812188852373,0.20586991182116943,,,,,,61466
195,241,FIFE EAST,Scotland,0.4295750587230408,0.1994234465086483,0.22980995088618408,0.14119154388212685,,,,,,46830
196,243,EAST FLINTSHIRE,Wales,0.3808488203505997,0.4833761697640701,0.11097930670884408,0.019737709239488598,,,,,0.005057993936997495,60696
197,211,EAST GRINSTEAD,South East,0.6204664633477411,0.1359457621168572,0.24358777453540162,,,,,,,45577
198,307,EAST HERTFORDSHIRE,Eastern,0.5547857428914698,0.26884261113336005,0.15208917367507677,,,,,,0.024282472300093446,74910
199,212,EAST KILBRIDE,Scotland,0.2939066870291882,0.5388232064107624,,0.1559792027729636,,,,,0.011290903787085815,58277
200,484,EAST RENFREWSHIRE,Scotland,0.4988736353659241,0.24398790842751794,0.18033386602999787,0.07680459017656006,,,,,,51937
201,210,EASTBOURNE,South East,0.6304897287577819,0.1724483045240963,0.18802055944767687,,,,,,0.009041407270444946,58951
202,213,EASTLEIGH,South East,0.5591672594764885,0.2645431976887676,0.176289542834744,,,,,,,68881
203,214,EBBW VALE,Wales,0.13608240295876395,0.6922678096159829,0.10652932840206007,0.06512045902319312,,,,,,28931
204,215,ECCLES,North West,0.3579451419996911,0.5357812741355341,0.09815301101132025,,,,,,0.008120572853454553,45317
205,216,EDINBURGH CENTRAL,Scotland,0.2955375014718003,0.47847246752227324,0.12151183327446131,0.09757054829467404,,,,,0.0069076494367910826,25479
206,217,EDINBURGH EAST,Scotland,0.33523896638463296,0.5368625657443402,,0.12110679167619483,,,,,0.006791676194831923,43730
207,218,EDINBURGH LEITH,Scotland,0.3195084485407066,0.46300860929518095,0.12081591826528061,0.09666702389883185,,,,,,27993
208,219,EDINBURGH NORTH,Scotland,0.43587929496447136,0.3006244424620874,0.1551877941493125,0.10830846842412871,,,,,,32509
209,220,EDINBURGH PENTLANDS,Scotland,0.3927770250760722,0.36616840281633833,0.13146613952868533,0.10958843257890412,,,,,,45023
210,221,EDINBURGH SOUTH,Scotland,0.39735772357723576,0.34300989749027927,0.16348533050547898,0.0839519264757865,,,,,0.012195121951219513,45264
211,222,EDINBURGH WEST,Scotland,0.4544280919184095,0.28188155763678613,0.17205361124803417,0.09163673919677018,,,,,,42603
212,223,EDMONTON,London,0.4263798793672471,0.4714464549903266,0.07456469784909525,,,,,,0.02760896779333106,43935
213,224,ENFIELD NORTH,London,0.48058533199660675,0.41343410195110664,0.09024832266522712,,,,,,0.015732243387059457,51868
214,225,EPPING,Eastern,0.5764991483780028,0.2739677754067229,0.12780203214628322,,,,,,0.021731044068991172,51079
215,226,EPSOM,South East,0.6190770205018602,0.17913401409008153,0.20178896540805827,,,,,,,63165
216,227,ERITH AND CRAYFORD,London,0.41494622977039797,0.4724624871098765,0.09495548961424333,,,,,,0.01763579350548225,47517
217,228,ESHER,South East,0.6510499501307383,0.15187211903927542,0.19707793082998626,,,,,,,37097
218,230,ETON AND SLOUGH,South East,0.398264659922691,0.4258162677851797,0.10802697590262357,,,,,,0.06789209638950572,48636
219,231,EXETER,South West,0.4841255701254276,0.34111316989737744,0.1560005701254276,,,,,,0.01876068985176739,56128
220,232,EYE,Eastern,0.5196401419158642,0.24773731083918615,0.22190645137933532,,,,,,0.010716095865614365,55244
221,233,FALMOUTH AND CAMBORNE,South West,0.5667941766322514,0.2585419297333432,0.13906632994132065,,,,,,0.03559756369308475,53852
222,234,FAREHAM,South East,0.5898415044756509,0.16508581752484192,0.2398989898989899,,,,,,0.005173688100517369,48708
